pac,sho,pas,dri,def,crossing,finishing,short_passing,dribbling,long_passing,ball_control,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_reflexes,name,Position
50,60,69,65,86,60,53,75,62,74,71,87,87,5,12,8,"Javi Martínez",Midfielder
90,82,79,89,36,77,85,81,89,74,88,40,40,7,10,4,"D. Mertens",Attacker
78,52,55,60,87,47,44,64,58,64,58,90,86,6,8,5,Sokratis,Defender
71,49,60,67,88,48,43,70,65,69,72,90,86,12,6,12,Miranda,Defender
78,82,78,82,22,75,84,86,82,55,86,15,12,13,11,7,"K. Benzema",Attacker
63,77,88,80,61,85,76,91,80,90,86,63,62,6,10,15,"Cesc Fàbregas",Midfielder
82,76,83,90,25,81,76,86,90,75,90,25,26,15,6,10,"F. Ribéry",Attacker
68,51,57,61,86,46,46,70,58,61,62,86,87,8,15,10,Pepe,Defender
82,87,76,81,42,19,12,35,12,33,22,13,12,82,87,81,"P. Čech",Keeper
88,79,78,88,29,80,79,79,91,74,86,39,26,9,11,10,"Y. Carrasco",Attacker
83,45,61,64,84,36,40,75,57,76,77,86,85,11,11,14,"R. Varane",Defender
83,81,71,80,24,73,84,78,83,51,84,14,20,4,5,5,Morata,Attacker
62,68,74,72,84,52,59,82,69,84,78,87,86,13,14,12,Casemiro,Midfielder
90,74,82,89,25,83,73,83,88,73,90,24,22,8,4,10,"L. Insigne",Attacker
72,75,86,82,65,84,71,86,80,85,86,69,51,14,12,13,Koke,Midfielder
86,83,71,85,38,64,87,79,85,59,84,42,30,11,6,6,"A. Lacazette",Attacker
89,78,72,88,53,11,15,30,16,37,19,14,14,89,78,88,"K. Navas",Keeper
86,79,80,87,54,79,77,84,87,72,87,53,55,5,11,7,"H. Mkhitaryan",Midfielder
84,79,79,87,53,11,10,24,11,26,19,14,13,84,79,87,"D. Subašić",Keeper
85,84,74,83,49,9,9,37,16,33,22,15,18,85,84,83,"B. Leno",Keeper
84,83,87,86,45,15,14,30,17,38,18,13,10,84,83,86,"M. ter Stegen",Keeper
56,32,44,53,86,29,27,63,51,59,59,87,83,10,14,10,"K. Glik",Defender
93,69,75,82,81,82,73,79,80,70,83,84,83,13,15,13,"Jordi Alba",Defender
71,74,83,87,64,74,72,88,87,83,88,67,64,11,14,13,"I. Gündoğan",Midfielder
79,55,75,74,86,78,46,80,69,74,79,88,87,13,9,5,Azpilicueta,Defender
86,77,82,86,47,85,74,83,86,79,85,59,56,10,7,11,"A. Di María",Attacker
74,71,86,86,67,80,61,89,86,85,89,70,66,7,7,8,"M. Pjanić",Midfielder
67,65,73,70,85,68,56,79,69,74,74,86,86,6,10,7,"J. Vertonghen",Defender
78,67,77,75,83,75,65,84,73,79,77,84,81,8,11,14,"B. Matuidi",Midfielder
82,84,77,87,48,11,11,33,12,34,15,12,11,82,84,87,"S. Ruffier",Keeper
79,62,77,77,82,84,59,78,77,77,81,83,86,11,15,5,"Filipe Luís",Defender
63,54,65,64,84,61,45,72,63,66,68,85,84,10,9,6,"V. Kompany",Defender
71,34,57,64,88,40,21,65,64,65,65,90,88,4,2,4,"A. Barzagli",Defender
78,42,59,65,84,51,33,72,63,56,68,85,85,14,14,8,"E. Bailly",Defender
82,82,83,83,39,79,82,86,83,81,86,42,39,13,9,10,"Marco Asensio",Attacker
81,72,81,90,45,79,76,84,91,78,89,44,35,9,10,9,"Bernardo Silva",Attacker
69,50,66,61,86,58,45,73,55,78,71,88,85,10,11,5,"A. Laporte",Defender
76,81,77,82,64,68,84,83,83,76,85,63,57,7,6,8,"D. Alli",Midfielder
93,78,75,85,36,72,83,77,86,71,84,35,38,10,10,14,"S. Mané",Attacker
82,45,73,79,83,83,41,81,76,71,83,85,86,13,13,15,Carvajal,Defender
78,80,82,86,34,83,78,84,88,77,87,35,26,11,13,8,"J. Draxler",Attacker
78,83,61,75,26,46,89,73,74,54,77,21,21,13,9,9,"M. Icardi",Attacker
73,26,43,56,85,30,19,59,54,48,59,87,85,7,11,5,"K. Koulibaly",Defender
83,81,83,86,48,19,13,35,20,32,22,13,12,83,81,86,"T. Horn",Keeper
80,19,42,60,86,27,10,60,54,61,65,86,87,8,6,12,"K. Manolas",Defender
67,57,63,62,83,50,58,77,53,69,70,83,85,11,9,6,"S. Mustafi",Defender
73,72,81,83,78,74,71,86,81,80,86,78,76,9,12,8,"Ander Herrera",Midfielder
64,70,77,72,80,68,64,83,72,81,78,83,75,7,15,9,"N. Matić",Midfielder
67,74,82,78,78,74,68,86,76,83,85,83,75,7,12,7,"K. Strootman",Midfielder
82,77,77,85,37,78,81,83,84,70,87,32,31,5,11,9,Pedro,Attacker
84,83,73,85,48,15,8,37,16,24,23,13,16,84,83,85,"R. Bürki",Keeper
41,72,79,75,78,60,66,87,75,86,83,84,85,13,10,8,Bruno,Midfielder
64,83,70,74,32,63,87,77,76,72,80,28,16,9,11,15,"E. Džeko",Attacker
88,76,81,86,49,77,77,82,87,77,86,58,51,14,12,13,Willian,Attacker
64,74,80,76,80,72,69,85,78,81,81,82,78,11,9,8,"S. Khedira",Midfielder
83,86,52,87,43,14,11,25,15,26,24,12,10,83,86,87,"R. Fährmann",Keeper
86,83,76,85,56,24,14,39,15,39,14,15,14,86,83,85,"Sergio Asenjo",Keeper
67,76,84,84,32,84,79,86,82,77,87,28,21,9,10,8,"Juan Mata",Midfielder
74,42,54,64,85,45,45,65,64,65,65,86,84,7,4,11,"M. Benatia",Defender
69,84,68,78,37,55,87,78,74,58,82,42,19,10,13,5,Falcao,Attacker
75,41,62,65,85,52,32,76,62,69,67,87,84,13,11,7,"L. Koscielny",Defender
63,58,52,61,84,28,56,65,58,61,63,85,84,5,12,12,"G. Cahill",Defender
82,68,81,85,77,86,55,83,84,77,86,79,83,5,11,7,"Dani Alves",Defender
90,77,80,89,31,82,78,82,89,72,87,30,34,8,11,6,"A. Gómez",Midfielder
70,83,65,77,46,54,85,73,79,52,82,44,49,14,10,9,Aduriz,Attacker
90,80,74,85,47,70,87,78,86,68,87,44,40,13,5,6,"K. Mbappé",Attacker
91,76,75,89,33,77,77,74,92,68,85,30,33,6,6,13,"O. Dembélé",Attacker
73,71,77,89,62,62,74,88,90,78,88,63,61,7,14,9,"N. Keïta",Midfielder
70,45,51,52,84,47,37,68,47,58,56,84,87,9,11,15,"J. Giménez",Defender
85,79,75,86,51,12,15,32,15,23,15,13,17,85,79,86,"G. Rulli",Keeper
85,78,80,86,62,82,78,82,88,71,86,59,63,11,15,14,"T. Lemar",Midfielder
73,70,80,83,70,77,66,83,84,78,85,75,61,6,15,8,"João Mário",Midfielder
65,41,51,49,83,30,20,76,42,61,63,86,82,15,7,15,"N. Süle",Defender
81,76,82,87,63,20,14,15,21,30,30,15,8,81,76,87,Ederson,Keeper
85,74,80,80,78,75,72,84,80,79,82,79,78,13,8,9,"L. Goretzka",Midfielder
74,65,76,76,83,79,66,82,75,74,80,88,85,13,12,8,Fabinho,Midfielder
93,73,74,87,45,73,79,79,87,65,87,43,41,14,14,14,"M. Salah",Attacker
82,81,57,78,29,42,88,68,78,42,78,23,32,13,7,7,"A. Belotti",Attacker
75,74,83,83,30,86,72,86,82,70,85,26,17,13,7,11,"E. Forsberg",Attacker
71,38,68,69,84,72,33,80,65,78,76,85,86,6,6,13,Marquinhos,Defender
53,57,77,74,80,66,56,84,79,86,78,85,71,6,6,14,"William Carvalho",Midfielder
74,64,71,71,82,69,51,79,69,73,75,85,83,15,10,15,"S. Umtiti",Defender
82,74,78,88,28,81,74,78,88,74,88,23,19,15,9,6,"R. Mahrez",Attacker
73,60,67,69,83,53,52,76,70,76,73,85,83,13,10,11,"V. van Dijk",Defender
77,81,79,85,46,72,83,83,87,75,85,59,42,8,11,10,"Roberto Firmino",Attacker
68,62,69,74,82,50,56,82,76,79,77,85,78,9,7,15,"Danilo Pereira",Midfielder
80,77,79,83,28,80,79,81,86,82,85,21,23,11,16,16,Vitolo,Attacker
68,41,58,65,85,49,25,71,61,71,71,86,82,8,10,13,"S. de Vrij",Defender
80,85,71,90,56,11,11,33,19,31,23,12,19,80,85,90,"M. Perin",Keeper
67,46,68,66,84,54,36,77,65,74,71,85,79,11,15,10,"J. Matip",Defender
81,83,73,85,29,67,86,80,85,64,84,21,18,12,16,13,"Iago Aspas",Attacker
83,84,61,79,38,55,86,70,79,49,80,33,32,6,8,6,"C. Immobile",Attacker
63,56,59,54,83,52,53,71,41,66,64,83,84,12,5,12,"N. Otamendi",Defender
71,75,83,85,58,77,73,87,88,83,87,59,51,14,9,12,"J. Pastore",Midfielder
52,77,87,78,61,84,75,90,78,87,83,61,51,5,9,8,Parejo,Midfielder
70,68,76,87,34,60,76,84,87,73,85,24,27,11,9,13,"S. Kagawa",Midfielder
78,77,82,83,67,82,70,84,83,80,85,72,68,10,14,14,"G. Bonaventura",Midfielder
60,83,57,64,43,38,87,74,64,37,73,48,26,6,12,8,"B. Dost",Attacker
90,63,73,76,80,78,51,75,77,67,76,84,83,12,6,8,"K. Walker",Defender
74,75,79,82,43,70,75,83,81,78,84,50,47,12,10,12,Oscar,Midfielder
57,67,73,71,80,59,64,82,72,78,82,83,78,7,16,13,"S. N'Zonzi",Midfielder
70,51,67,58,84,55,48,78,43,70,73,84,86,5,11,12,"M. Musacchio",Defender
76,39,62,67,85,49,28,74,64,69,72,85,82,11,8,15,"O. Toprak",Defender
90,78,71,83,35,77,76,75,82,51,84,32,32,8,5,11,"José Callejón",Attacker
65,76,82,81,78,78,71,83,82,84,85,78,73,15,6,7,"Adrien Silva",Midfielder
84,81,79,87,27,73,83,79,86,75,87,29,28,6,3,3,"S. Giovinco",Attacker
72,78,71,74,65,72,84,75,74,65,77,64,64,10,8,15,"M. Mandžukić",Attacker
73,75,80,84,65,74,79,86,85,77,86,67,62,6,15,11,"A. Lallana",Midfielder
64,47,63,64,83,58,48,73,60,64,68,83,83,14,6,7,"B. Höwedes",Defender
69,70,85,84,62,80,65,88,83,85,85,69,61,13,8,10,"E. Banega",Midfielder
85,81,80,82,55,12,12,31,20,30,23,13,11,85,81,82,"Rui Patrício",Keeper
81,82,83,83,51,13,13,40,15,31,25,19,12,81,82,83,"Y. Sommer",Keeper
74,78,85,87,37,84,76,85,89,82,90,36,39,11,15,12,"D. Payet",Midfielder
68,62,76,77,79,65,61,86,74,80,84,82,80,6,11,7,"M. Schneiderlin",Midfielder
65,85,75,84,35,70,87,74,84,70,88,36,25,12,11,5,Jonas,Attacker
79,69,76,74,81,86,65,78,74,69,76,84,83,14,11,12,"L. Piszczek",Defender
87,66,75,81,78,85,58,77,82,69,81,83,77,16,11,7,"A. Valencia",Defender
83,82,82,86,61,18,12,44,12,46,40,14,13,83,82,86,"K. Schmeichel",Keeper
70,69,85,86,63,78,67,89,86,86,88,66,62,5,4,7,"Borja Valero",Midfielder
68,65,69,67,86,69,64,74,62,77,74,88,84,6,7,14,"L. Perrin",Defender
69,63,81,80,75,74,50,86,77,84,85,80,78,14,12,7,"L. Biglia",Midfielder
77,84,76,80,44,11,12,28,11,23,23,13,14,77,84,80,"Diego López",Keeper
65,76,85,85,61,85,75,86,85,83,87,64,52,6,9,15,"Santi Cazorla",Midfielder
65,53,71,68,82,63,42,79,58,75,80,83,82,6,10,5,"J. Mascherano",Defender
69,78,86,82,38,86,72,84,82,86,85,41,37,9,5,12,"W. Sneijder",Midfielder
81,79,81,86,24,82,75,81,87,79,86,22,20,5,10,6,Nani,Attacker
68,64,73,70,81,57,50,82,64,82,78,84,82,10,7,9,"D. De Rossi",Midfielder
80,83,82,82,57,11,14,19,10,22,23,22,24,80,83,82,"José Reina",Keeper
83,76,81,88,18,88,70,79,89,75,87,17,13,12,14,15,Quaresma,Attacker
63,82,80,76,70,67,82,84,78,81,82,77,74,13,14,8,"Y. Touré",Midfielder
86,74,58,85,58,13,12,21,25,22,23,11,13,86,74,85,Casillas,Keeper
88,78,72,88,50,12,12,34,24,24,28,14,16,88,78,88,"G. Donnarumma",Keeper
94,77,72,86,35,76,78,75,87,64,84,32,35,8,12,14,"L. Sané",Attacker
73,49,70,77,81,54,39,80,78,78,80,84,82,11,15,10,"T. Bakayoko",Midfielder
74,76,78,78,76,67,75,85,77,82,80,78,71,7,10,14,"C. Tolisso",Midfielder
80,78,77,87,31,76,78,80,88,72,88,33,30,15,9,15,"N. Fekir",Attacker
80,71,82,81,72,72,69,87,79,84,84,75,69,14,13,12,"J. Seri",Midfielder
92,76,72,86,29,75,79,76,87,64,89,29,28,12,8,15,"K. Baldé Diao",Attacker
72,27,58,58,82,35,20,74,55,69,64,86,80,11,8,14,"J. Tah",Defender
84,76,77,86,34,77,73,80,86,70,87,36,32,14,15,12,"F. Bernardeschi",Attacker
92,79,65,81,28,69,86,76,81,55,82,20,19,9,9,9,"T. Werner",Attacker
68,71,78,78,71,61,68,84,81,83,80,77,64,12,9,8,"André Gomes",Midfielder
90,79,71,86,41,74,81,75,88,58,84,39,36,9,8,11,"A. Martial",Attacker
89,81,76,83,29,75,82,76,83,69,82,24,27,10,13,13,"Q. Promes",Attacker
73,69,78,81,77,69,71,85,82,80,84,82,77,7,13,9,Saúl,Midfielder
68,41,59,61,83,45,39,75,57,70,64,84,79,9,11,7,Felipe,Defender
77,79,64,79,24,60,87,72,79,50,81,16,14,12,12,8,"C. Bacca",Attacker
64,77,80,83,43,73,75,85,86,76,88,40,37,14,15,7,"F. Vázquez",Midfielder
81,69,82,85,61,73,62,87,88,82,87,69,63,9,5,7,"M. Kovačić",Midfielder
79,80,78,83,52,17,14,23,14,23,12,11,11,79,80,83,"Sergio Rico",Keeper
73,74,80,81,65,69,71,86,81,82,84,73,58,9,14,8,"Manu Trigueros",Midfielder
74,40,64,63,82,68,27,70,59,65,68,84,81,14,15,8,"A. Rüdiger",Defender
82,76,78,84,36,82,74,81,86,75,83,29,31,8,11,9,"F. Thauvin",Attacker
63,35,52,56,83,35,34,67,47,69,66,82,84,14,13,12,"S. Savić",Defender
71,56,63,61,82,51,42,74,53,77,70,81,84,12,16,11,"Iñigo Martínez",Defender
77,61,76,77,73,67,67,89,72,80,82,79,80,15,8,9,"Roque Mesa",Midfielder
73,80,74,74,67,63,82,83,72,75,81,74,62,12,6,10,"D. Klaassen",Midfielder
92,77,74,85,33,76,75,80,87,59,82,30,33,10,12,10,"K. Bellarabi",Attacker
93,71,74,85,46,73,73,81,85,67,84,58,54,15,12,9,"R. Sterling",Attacker
82,75,81,87,23,81,70,83,87,75,89,23,18,15,15,9,Suso,Attacker
93,70,75,88,26,76,70,79,89,62,87,30,22,12,16,11,Deulofeu,Attacker
72,63,71,65,81,67,52,76,66,77,70,82,83,11,14,9,"E. Dier",Defender
71,59,69,68,81,75,50,72,67,73,68,82,80,7,8,10,"M. Rojo",Defender
93,74,75,86,45,75,72,77,88,74,82,43,51,9,10,14,Lucas,Attacker
86,83,75,83,25,75,83,78,85,64,82,19,23,11,13,10,"H. Son",Attacker
62,50,58,58,85,25,37,70,57,75,67,86,85,11,9,11,"F. Acerbi",Defender
50,66,79,72,72,66,49,85,70,86,80,73,68,7,8,13,"G. Xhaka",Midfielder
81,75,81,86,53,75,78,85,88,76,83,67,58,16,16,9,"Jonathan Viera",Midfielder
79,77,81,83,61,77,77,82,82,81,82,64,52,15,14,15,Pizzi,Midfielder
67,82,65,76,37,54,84,79,79,48,80,32,30,15,14,8,"Willian José",Attacker
58,42,64,60,83,54,37,75,53,70,71,84,85,12,8,14,"Víctor Ruíz",Defender
83,77,78,85,46,74,72,80,85,76,83,41,48,13,12,11,"X. Shaqiri",Midfielder
91,74,75,87,61,78,67,77,90,69,83,60,68,5,5,9,"J. Cuadrado",Attacker
92,77,77,85,32,76,71,78,85,71,83,31,30,13,15,5,"Douglas Costa",Attacker
81,70,70,73,80,79,68,75,73,69,75,80,82,9,12,15,"Mario Gaspar",Defender
77,69,77,77,77,81,64,79,78,73,79,80,78,9,7,12,"Marcos Alonso",Defender
68,72,81,88,38,77,74,85,88,79,90,43,23,14,7,10,"M. Götze",Midfielder
79,77,73,85,41,11,11,15,10,20,19,10,13,79,77,85,"L. Hrádecký",Keeper
60,66,77,79,77,65,64,82,79,81,81,82,79,15,7,12,Illarramendi,Midfielder
72,46,56,59,81,52,50,66,59,63,58,82,80,10,15,15,"C. Smalling",Defender
71,69,80,82,62,73,64,84,82,80,84,63,65,6,15,11,"J. Wilshere",Midfielder
71,67,80,80,74,73,63,84,78,81,84,73,74,13,8,10,"S. Rudy",Midfielder
80,76,77,84,49,13,13,25,10,12,24,14,10,80,76,84,"K. Trapp",Keeper
61,60,71,69,80,50,58,81,64,74,75,82,74,9,13,10,Camacho,Attacker
76,74,74,77,77,64,72,81,77,76,81,78,73,16,16,8,Paulinho,Midfielder
73,79,64,75,35,60,85,72,74,48,79,32,28,9,11,7,"N. Kalinić",Attacker
81,76,77,82,45,73,76,79,82,75,82,43,38,16,11,8,Giuliano,Midfielder
81,71,78,85,32,79,66,82,86,69,87,31,22,5,8,8,"D. Perotti",Attacker
71,76,76,76,77,70,70,80,75,83,79,80,82,13,9,9,"M. Parolo",Midfielder
58,81,64,72,19,60,82,66,75,59,78,15,10,12,7,16,"K. Mitroglou",Attacker
61,33,62,56,80,60,23,73,50,68,61,83,79,14,12,8,"M. Sakho",Defender
53,54,48,58,81,28,45,66,53,68,64,81,78,5,3,3,"A. Rami",Defender
77,81,75,84,34,72,80,80,85,64,88,32,30,9,7,10,"S. Jovetić",Attacker
73,66,72,78,80,81,62,78,78,70,78,84,83,5,15,7,"S. Coleman",Defender
64,55,64,53,81,54,55,75,42,74,67,82,80,6,10,15,"S. Kjær",Defender
80,83,72,82,55,12,11,34,12,43,15,14,18,80,83,82,Adán,Keeper
80,75,79,83,29,79,74,81,83,77,82,26,34,14,12,8,"M. Valbuena",Attacker
80,76,65,84,56,11,11,37,14,34,26,14,16,80,76,84,"S. Mignolet",Keeper
68,36,53,60,84,34,25,68,56,68,66,85,80,4,4,4,"D. Astori",Defender
83,77,77,83,46,81,77,80,84,77,85,52,51,8,10,15,"K. Mirallas",Attacker
57,77,81,76,68,77,75,83,74,82,84,74,63,14,16,15,"Raúl García",Midfielder
61,38,51,52,82,39,35,69,46,67,59,83,81,15,5,11,"M. Škrtel",Defender
86,78,75,83,48,14,13,37,15,28,17,15,13,86,78,83,"S. Mandanda",Keeper
80,79,76,83,54,17,12,32,17,37,28,15,13,80,79,83,"T. Heaton",Keeper
76,77,77,86,35,74,75,78,89,74,83,36,22,12,8,12,"H. Ben Arfa",Attacker
45,52,67,63,82,60,47,74,58,75,73,83,84,14,8,13,Dante,Defender
72,83,72,73,39,72,86,72,75,68,73,41,23,10,15,11,"A. Gignac",Attacker
64,73,79,76,75,67,67,84,74,83,79,79,74,6,12,10,Gabi,Midfielder
68,47,61,65,83,38,44,70,62,74,70,84,80,12,4,9,"G. Rodríguez",Defender
73,75,85,75,78,85,69,85,72,87,83,78,77,10,10,12,"D. Srna",Defender
39,75,81,73,74,76,69,82,71,84,80,74,75,14,14,11,"B. Schweinsteiger",Midfielder
78,79,81,81,40,11,13,24,14,22,22,13,14,78,79,81,"C. Carrasso",Keeper
85,78,82,79,39,11,11,31,13,35,24,14,14,85,78,79,Moyá,Keeper
68,81,81,76,52,78,80,81,73,82,80,51,37,10,11,7,"W. Rooney",Attacker
27,41,55,47,85,38,36,66,39,58,64,87,82,12,13,8,"P. Mertesacker",Defender
32,64,76,67,76,66,54,83,65,83,81,82,74,10,10,14,"T. Motta",Midfielder
76,78,71,79,25,68,77,79,82,51,81,22,18,14,13,10,"Fernando Torres",Attacker
74,83,74,79,37,69,85,76,80,71,78,39,35,7,10,12,"S. Eto'o",Attacker
71,71,73,79,73,56,69,79,81,77,84,73,69,7,10,7,"S. Milinković-Savić",Midfielder
53,79,80,77,68,76,73,80,76,81,81,72,69,6,8,12,"Y. Tielemans",Midfielder
63,35,51,59,81,30,28,70,54,60,63,82,80,7,15,10,Jemerson,Defender
82,80,66,86,49,64,82,68,87,56,85,51,44,13,10,16,"A. Correa",Midfielder
67,71,77,81,70,65,62,86,84,76,81,73,60,9,10,15,"N. Bentaleb",Midfielder
75,76,70,86,39,17,13,27,16,20,21,19,16,75,76,86,Alisson,Keeper
83,62,77,78,75,85,52,76,79,81,78,77,76,13,8,14,"Alex Telles",Defender
81,73,76,84,26,74,74,81,87,68,83,20,24,11,16,9,"J. Brandt",Attacker
